,FORECAST
0,93.8945574760437
1,83.2278561592102
2,53.242836475372314
3,65.92378616333008
4,67.3477258682251
5,76.16586017608643
6,70.51940727233887
7,65.03272438049316
8,60.07604742050171
9,40.73367929458618
10,45.46443557739258
11,40.0137300491333
12,41.00801420211792
13,34.40864133834839
14,46.162193775177
15,41.128854751586914
16,41.7872633934021
17,42.26736545562744
18,40.596378803253174
19,26.896815299987793
20,11.947746947407722
21,18.826059341430664
22,15.15849494934082
23,20.93380117416382
24,35.99125862121582
25,39.11057996749878
26,34.39232540130615
27,48.08276605606079
28,50.32281732559204
29,59.63037347793579
30,48.607909202575684
31,56.495784282684326
32,54.54247331619263
33,60.49483680725098
34,62.94962692260742
35,67.16142511367798
36,73.89962959289551
37,61.66786289215088
38,65.75672006607056
39,55.75304841995239
40,86.26184558868408
41,82.48479080200195
42,89.08647465705872
43,96.21645498275757
44,116.94068574905396
45,120.62902927398682
46,119.51448822021484
47,127.56740140914917
48,126.2259407043457
49,131.2443027496338
50,126.13960862159729
51,144.32636499404907
52,139.7320384979248
53,128.9090461730957
54,135.12376928329468
55,133.37975978851318
56,123.75859022140503
57,113.84659194946289
58,122.41015434265137
59,114.42514705657959
60,135.6150541305542
61,126.27435493469238
62,125.89761447906494
63,124.70295715332031
64,127.57130241394043
65,134.10635232925415
66,120.04075241088867
67,126.75544261932373
68,141.21648502349854
69,121.82905113697052
70,116.02660989761353
71,135.54146814346313
72,125.87329149246216
73,142.67040491104126
74,134.43354082107544
75,155.055926322937
76,128.53375244140625
77,128.91281747817993
78,145.05287170410156
79,117.73745250701904
80,125.98290205001831
81,139.75113582611084
82,131.89502573013306
83,111.72245645523071
84,113.42269325256348
85,118.84867763519287
86,113.91393089294434
87,112.68603515625
88,115.242422580719
89,102.87626218795776
90,118.17312908172607
91,114.8103494644165
92,98.20710325241089
93,88.90827178955078
94,85.15429496765137
95,80.71084117889404
96,89.63374900817871
97,76.38696479797363
98,72.78427314758301
99,62.088937759399414
100,74.73781108856201
101,68.99684047698975
102,63.35151386260986
103,66.71599292755127
104,64.0662145614624
105,65.11276340484619
106,60.311657428741455
107,69.9460506439209
108,55.33936548233032
109,44.61764705181122
110,34.002702713012695
111,38.050095081329346
112,31.21037006378174
113,24.68268632888794
114,36.487464427948
115,30.298229694366455
116,27.616732120513916
117,23.839377403259277
118,30.528350830078125
119,30.640392303466797
120,18.334463596343994
121,19.374183654785156
122,27.22031879425049
123,23.748836994171143
124,22.086576461791992
125,11.819189548492432
126,14.74512529373169
127,8.487180709838867
128,6.514577388763428
129,0.1079871654510498
130,10.786815643310547
131,9.217860221862793
132,13.860819816589355
133,-68.20776057243347
134,1.2778964042663574
135,8.3942289352417
136,12.71305227279663
137,36.126227378845215
138,45.55239677429199
139,55.034449100494385
140,50.68435287475586
141,62.091824531555176
142,77.98449420928955
143,85.00819969177246
144,89.8348617553711
145,91.20637655258179
146,96.12359380722046
147,126.65084886550903
148,131.76352977752686
149,130.4009656906128
150,133.62628555297852
151,157.10717296600342
152,162.6555151939392
153,178.80896663665771
154,194.53797817230225
155,224.16997289657593
156,198.97917413711548
157,202.93817901611328
158,198.98832035064697
159,225.8664312362671
160,245.28677606582642
161,244.22793912887573
162,279.8541259765625
163,285.80111360549927
164,304.1627240180969
165,297.86074209213257
166,310.52464151382446
167,330.01132249832153
168,345.48359394073486
169,378.4249482154846
170,397.1852250099182
171,413.35653162002563
172,405.57427883148193
173,421.87414360046387
174,441.0180764198303
175,473.34815406799316
176,472.22572088241577
177,509.043879032135
178,495.40438890457153
179,496.8344030380249
180,531.0305585861206
181,556.2823195457458
182,561.7055172920227
183,554.3263230323792
184,562.6849403381348
185,-62.68713712692261
186,-63.061614990234375
187,669.3797030448914
188,641.3919022083282
189,683.802398532629
190,670.3007706552744
191,654.4607095718384
192,659.9570841789246
193,670.1345348358154
194,689.6964764595032
195,663.0971364974976
196,672.9280009269714
197,643.3203773498535
198,621.748776435852
199,628.3202815055847
200,615.606746673584
201,622.9839067459106
202,628.6686792373657
203,620.0515179634094
204,585.5451374053955
205,579.7810907363892
206,553.8576679229736
207,555.9860119819641
208,543.2705192565918
209,530.2177066802979
210,522.1305899620056
211,522.9383435249329
212,487.06306886672974
213,456.60847520828247
214,448.2128977775574
215,432.6776809692383
216,428.33084774017334
217,448.04264736175537
218,424.2047758102417
219,442.93766593933105
220,418.17751693725586
221,415.2420811653137
222,409.1205177307129
223,384.73652744293213
224,394.4043483734131
225,387.99729442596436
226,366.276798248291
227,366.165244102478
228,345.5533618927002
229,363.6001024246216
230,352.3284206390381
231,362.1576633453369
232,337.398268699646
233,332.6063480377197
234,304.17522144317627
235,304.52667808532715
236,298.56027030944824
237,293.4976682662964
238,296.6360545158386
239,306.7658395767212
240,311.2497262954712
241,317.5994110107422
242,304.4837875366211
243,274.64628982543945
244,294.8436088562012
245,277.36077547073364
246,256.46065950393677
247,273.4739327430725
248,283.7823848724365
249,288.2653617858887
250,276.71663761138916
251,291.1702404022217
252,292.5525612831116
253,308.2184810638428
254,303.16032552719116
255,344.72827911376953
256,311.81637620925903
257,362.4600319862366
258,378.5015640258789
259,385.41107845306396
260,399.8257780075073
261,414.65536308288574
262,427.51585578918457
263,443.17543935775757
264,456.61925077438354
265,492.1785502433777
266,534.5277299880981
267,541.7279853820801
268,560.0364227294922
269,538.0834765434265
270,558.2230195999146
271,569.3832139968872
272,610.1498827934265
273,608.099720954895
274,615.3242983818054
275,622.3131666183472
276,619.5324068069458
277,675.1709890365601
278,672.5662679672241
279,693.241219997406
280,707.1988296508789
281,701.1239385604858
282,692.2941055297852
283,699.6195135116577
284,712.6279883384705
285,681.4719090461731
286,704.6502103805542
287,697.5817942619324
288,731.5529961585999
289,724.6233801841736
290,718.2658863067627
291,728.1165018081665
292,733.8107213973999
293,726.8361616134644
294,703.3029313087463
295,688.3126826286316
296,680.3784029483795
297,660.5741038322449
298,667.3151092529297
299,693.4839186668396
300,688.5059723854065
301,657.7821254730225
302,671.2505073547363
303,675.0290107727051
304,717.8602652549744
305,716.4268450737
306,708.707546710968
307,718.5721855163574
308,718.5645260810852
309,707.8079624176025
310,670.337432384491
311,652.5869235992432
312,651.9514026641846
313,651.3524832725525
314,747.7694001197815
315,591.3774929046631
316,582.2486371994019
317,581.2037506103516
318,569.8708701133728
319,807.2817128896713
320,563.1867423057556
321,588.2180914878845
322,521.9935312271118
323,496.07831716537476
324,480.1878147125244
325,480.9906978607178
326,471.228862285614
327,505.34378385543823
328,433.878210067749
329,426.2463493347168
330,388.35956478118896
331,353.7829837799072
332,327.9288363456726
333,316.4976797103882
334,291.0421333312988
335,285.5699653625488
336,259.2317805290222
337,256.29667377471924
338,227.7785062789917
339,191.69554615020752
340,173.10989904403687
341,182.2180585861206
342,168.1294379234314
343,143.4883327484131
344,143.82268810272217
345,115.29212093353271
346,104.05062294006348
347,101.95385360717773
348,76.64610242843628
349,67.49658155441284
350,56.11139488220215
351,57.22669792175293
352,37.98523998260498
353,39.411319732666016
354,35.314528465270996
355,28.733171939849854
356,27.27568006515503
357,19.64172649383545
358,16.869930267333984
359,12.863715171813965
360,7.635047912597656
361,3.24080753326416
362,5.7077226638793945
363,2.7356367111206055
364,-2.9618091583251953
365,-0.8365602493286133
366,4.570703983306885
367,-1.3783893585205078
